;mass A;;
t;x;y;
6.000;-8.095E-2;2.963E-2
6.040;-8.032E-2;2.947E-2
6.080;-7.767E-2;2.914E-2
6.120;-7.278E-2;2.769E-2
6.160;-6.614E-2;2.602E-2
6.200;-5.824E-2;2.466E-2
6.240;-4.846E-2;2.305E-2
6.280;-3.812E-2;2.178E-2
6.320;-2.702E-2;2.050E-2
6.360;-1.501E-2;1.976E-2
6.400;-2.790E-3;1.851E-2
6.440;9.326E-3;1.836E-2
6.480;2.071E-2;1.871E-2
6.520;3.206E-2;1.948E-2
6.560;4.269E-2;2.032E-2
6.600;5.229E-2;2.090E-2
6.640;6.034E-2;2.178E-2
6.680;6.697E-2;2.199E-2
6.720;7.115E-2;2.267E-2
6.760;7.379E-2;2.297E-2
6.800;7.521E-2;2.288E-2
6.840;7.515E-2;2.298E-2
6.880;7.324E-2;2.297E-2
6.920;6.988E-2;2.305E-2
6.960;6.437E-2;2.193E-2
7.000;5.646E-2;2.166E-2
7.040;4.714E-2;2.062E-2
7.080;3.727E-2;1.956E-2
7.120;2.634E-2;1.871E-2
7.160;1.527E-2;1.903E-2
7.200;4.072E-3;1.856E-2
7.240;-7.711E-3;1.866E-2
7.280;-1.923E-2;1.946E-2
7.320;-3.043E-2;2.063E-2
7.360;-4.069E-2;2.162E-2
7.400;-5.053E-2;2.339E-2
7.440;-5.789E-2;2.481E-2
7.480;-6.433E-2;2.580E-2
7.520;-6.968E-2;2.703E-2
7.560;-7.329E-2;2.791E-2
7.600;-7.507E-2;2.850E-2
7.640;-7.576E-2;2.844E-2
7.680;-7.541E-2;2.846E-2
7.720;-7.363E-2;2.794E-2
7.760;-6.870E-2;2.660E-2
7.800;-6.294E-2;2.530E-2
7.840;-5.553E-2;2.428E-2
7.880;-4.708E-2;2.273E-2
7.920;-3.713E-2;2.143E-2
7.960;-2.682E-2;2.054E-2
8.000;-1.521E-2;1.957E-2
8.040;-3.681E-3;1.866E-2
8.080;7.768E-3;1.796E-2
8.120;1.893E-2;1.859E-2
8.160;2.817E-2;1.872E-2
8.200;3.893E-2;1.999E-2
8.240;4.798E-2;2.074E-2
8.280;5.566E-2;2.136E-2
8.320;6.267E-2;2.159E-2
8.360;6.762E-2;2.204E-2
8.400;7.053E-2;2.207E-2
8.440;7.112E-2;2.208E-2
8.480;7.114E-2;2.178E-2
8.520;7.005E-2;2.174E-2
