0	0.00	350
0	30.50	341
1	0.00	333
1	30.00	331
2	0.00	331
2	30.00	335
3	0.00	342
3	30.00	349
4	0.00	358
4	30.00	368
5	0.00	376
5	30.00	385
6	0.00	390
6	30.00	394
7	0.00	396
7	30.00	395
8	0.00	391
8	30.00	386
9	0.00	380
9	30.00	371
10	0.00	364
10	30.00	358
11	0.00	351
11	30.00	346
12	0.00	343
12	30.00	342
13	0.00	343
13	30.00	345
14	0.00	351
14	30.00	356
15	0.00	363
15	30.00	368
16	0.00	373
16	30.00	377
17	0.00	381
17	30.00	384
18	0.00	385
18	30.00	384
19	0.00	379
19	30.00	376
20	0.00    372
20	30.00	368
21	0.00	363
21	30.00	358
22	0.00	355
22	30.00	352
23	0.00	351
23	30.00	350
24	0.00	351
24	30.00	353
25	0.00	356
25	30.00	359
26	0.00	363
26	30.00	366
27	0.00	369
27	30.00	372
28	0.00	374
28	30.00	375
29	0.00	375
29	30.00	373
30	0.00	372
30	30.00	369
31	0.00	366
31	30.00	363
32	0.00	361
32	30.00	358
33	0.00	356
33  30.00   354
