0	0.00	329
0	30.00	334
1	0.00	336
1	30.00	336
2	0.00	335
2	30.00	334
3	0.00	331
3	30.00	328
4	0.00	326
4	30.00	320
5	0.00	317
5	30.00	313
6	0.00	311
6	30.00	309
7	0.00	308
7	30.00	308
8	0.00	310
8	30.00	313
9	0.00	315
9	30.00	318
10	0.00	321
10	30.00	324
11	0.00	326
11	30.00	327
12	0.00	328
12	30.00	328
13	0.00	327
13	30.00	326
14	0.00	326
14	30.00	325
15	0.00	323
15	30.00	321
16	0.00	318
16	30.00	316
17	0.00	316
17	30.00	315
18	0.00	314
18	30.00	314
19	0.00	313
19	30.00	314
20	0.00    315
20	30.00	316
21	0.00	318
21	30.00	320
22	0.00	322
22	30.00	324
23	0.00	325
23	30.00	326
24	0.00	327
24	30.00	326
25	0.00	326
25	30.00	325
26	0.00	325
26	30.00	324
27	0.00	322
27	30.00	321
28	0.00	321
28	30.00	320
29	0.00	319
29	30.00	318
30	0.00	317
30	30.00	317
31	0.00	317
31	30.00	319
32	0.00	321
32	30.00	323
33	0.00	324
33  30.00   325
